Observation_ID,Common_Name,Scientific_Name,Family,Genus,Observed_Length_(m),Observed_Weight_(kg),Age_Class,Sex,Date_of_Observation,Country/Region,Habitat_Type,Conservation_Status,Observer_Name,Notes
30,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,4.71,576.6,Adult,Female,07-08-2018,Venezuela,Flooded_Savannas,Critically_Endangered,Jamie_Adkins,Past_feeling_nature_a_expert_involve_oil.
31,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.04,80.2,Adult,Unknown,16-01-2020,Thailand,Swamps,Critically_Endangered,Julie_Ramos,Memory_soldier_where_save_probably_exist_professional_people_behavior_weight.
32,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,4.11,324.4,Adult,Female,10-01-2014,USA,Mangroves,Vulnerable,Eric_Drake,Agency_each_little_sure_authority_increase_picture_create_recent_manager.
33,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.42,85.6,Adult,Female,16-04-2017,Cuba,Swamps,Critically_Endangered,Matthew_Smith,Sing_despite_sound_receive_let_newspaper_true.
34,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.01,28.9,Juvenile,Unknown,22-10-2008,Philippines,Rivers,Critically_Endangered,Casey_Marshall,Write_other_wear_through_partner_rest_measure_store_natural_today_season_listen_else_easy_point_she_miss.
35,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,0.76,36.7,Juvenile,Unknown,23-01-2024,Papua_New_Guinea,Swamps,Least_Concern,Denise_Jones,Doctor_from_throw_ball_character_him_check_degree_increase_former_letter.
36,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.26,84.2,Adult,Male,17-06-2022,Philippines,Freshwater_Marshes,Critically_Endangered,Ross_Price,Watch_affect_thing_offer_local_wall_fear_hope_through_structure.
37,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.48,21.9,Adult,Female,10-12-2021,Côte_d'Ivoire,Small_Streams,Vulnerable,Morgan_Marsh,Major_event_magazine_home_protect_something_right_subject_try_wonder_move_trade.
38,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.96,182.7,Adult,Unknown,14-05-2010,Liberia,Swamps,Critically_Endangered,Mary_Miller,Career_left_anyone_here_deep_force_seven.
39,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.05,24,Juvenile,Female,30-04-2014,Australia,Freshwater_Rivers,Least_Concern,Paul_Decker,Strong_like_see_appear_weight_difference_attention_whatever_American_all_easy.
40,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.72,150.3,Subadult,Female,27-01-2017,Senegal,Oases,Least_Concern,Lisa_Allen,Prove_nor_design_record_short_cold_parent_security_boy_standard_who_blue_agent_find_quality_when.
41,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,3.25,195.6,Adult,Unknown,14-09-2008,Pakistan,Rivers,Vulnerable,Miguel_Jones,Drug_recent_feeling_range_south_someone_not_American_mouth_product_attention_positive_actually_information_majority_item_gun_through_least.
42,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.57,387.4,Subadult,Female,27-01-2022,South_Africa,Marshes,Least_Concern,Christopher_Boyd,Pattern_try_simple_let_stay_or_focus_early_various_everything_late.
43,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,0.29,33.2,Hatchling,Unknown,02-06-2008,Thailand,Slow_Rivers,Critically_Endangered,Laura_Barnett,Agreement_surface_consider_deep_something_future_they_red_everybody_act_way_beat_result.
44,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.33,74,Adult,Unknown,10-02-2021,Mexico,Swamps,Least_Concern,Peter_Vaughn_DDS,Large_admit_family_identify_during_professional_hard_network_gas_you_nearly_goal.
45,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.5,90.6,Adult,Male,15-09-2006,Guatemala,Lagoons,Least_Concern,Eric_Hall,Firm_sea_week_real_course_school_everybody.
46,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.52,104.1,Adult,Male,15-10-2012,Guatemala,Rivers,Least_Concern,Paige_Carlson,Strategy_fast_guess_few_remain_call_animal.
47,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.04,155,Adult,Unknown,30-12-2024,Colombia,Estuaries,Vulnerable,Edgar_Raymond,Bill_activity_expect_long_future_whole_education_technology_box_assume_man_officer_rather_charge.
48,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,3.4,316.6,Subadult,Female,25-03-2012,Venezuela,Large_Rivers,Critically_Endangered,Tiffany_Miller,Budget_share_paper_so_difficult_mission_late_kind_team.
49,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.43,96.9,Adult,Male,09-12-2015,Sierra_Leone,Swamps,Critically_Endangered,Elizabeth_Oliver_DDS,Way_debate_decision_produce_church_community_avoid.
50,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.51,87.4,Subadult,Female,28-06-2019,Indonesia,Swamps,Least_Concern,Jerry_Wheeler,Allow_explain_executive_teacher_author.
51,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.57,229.3,Adult,Female,18-07-2014,USA,Mangroves,Vulnerable,Dennis_Moody,Product_value_interesting_name_positive_training_step_author_coach_film_see_notice_eye_buy.
52,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.96,149.9,Adult,Unknown,25-02-2009,Sierra_Leone,Shaded_Forest_Rivers,Critically_Endangered,Melissa_Bender,Music_just_our_threat_same_page_ago_director_purpose_team_onto_again_share_start_office_several.
53,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,0.96,31.8,Juvenile,Male,18-11-2020,Thailand,Swamps,Critically_Endangered,Joseph_Ramos,Consider_one_play_man_before.
54,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,5.83,953.9,Adult,Unknown,19-05-2011,Papua_New_Guinea,Coastal_Wetlands,Least_Concern,Gary_Santiago,Form_really_explain_war_spend_nearly_lawyer_fire_follow_wife.
55,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.97,120.1,Subadult,Female,07-08-2018,Papua_New_Guinea,Rivers,Least_Concern,Jose_Travis,Left_approach_million_performance_material_kind_appear_environment_capital_explain_thing_machine_ahead_picture_son.
56,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,1.77,71.7,Juvenile,Female,25-10-2019,Guinea,Shaded_Forest_Rivers,Critically_Endangered,Emily_Smith,Behavior_yeah_tree_left_brother_strategy_marriage_respond_meeting_event.
57,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,0.43,93.9,Hatchling,Female,07-08-2006,Venezuela,Flooded_Savannas,Critically_Endangered,Veronica_Sanchez,Certain_course_out_second_carry_attorney_significant_take_future_skin_environment.
58,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.05,70.8,Juvenile,Unknown,30-08-2025,Malaysia,Estuarine_Systems,Data_Deficient,Nicholas_Monroe,Your_majority_chance_Mrs_generation_necessary_myself_lay_focus.
59,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.26,91.6,Subadult,Male,19-02-2010,Nigeria,Shaded_Forest_Rivers,Critically_Endangered,Michael_Armstrong,Task_improve_fish_list_tree_high_write_society.
60,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,5.43,818.2,Adult,Male,18-07-2015,Indonesia,Coastal_Wetlands,Least_Concern,Brittany_Hanna,Maybe_opportunity_thank_them_key_moment_lead_reveal.
61,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,3.04,133.9,Adult,Unknown,28-10-2005,Indonesia,Lakes,Least_Concern,Matthew_Moore,Sit_enter_perhaps_however_bag_forget_purpose_move_west_phone_thought_maintain_must.
62,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.56,136.2,Adult,Unknown,13-05-2015,Vietnam,Slow_Rivers,Critically_Endangered,Cynthia_Cohen,Young_section_its_better_plant_their_kitchen_really.
63,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.18,12.5,Adult,Female,30-10-2014,Cameroon,Small_Streams,Vulnerable,Amber_Flynn,Grow_issue_each_include_radio_conference.
64,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.78,383.2,Adult,Male,09-05-2015,Kenya,Lakes,Least_Concern,Leon_Reyes,Marriage_on_discussion_point_least_project_together_let_explain_national_available.
65,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.93,46.7,Adult,Female,11-04-2009,Australia,Freshwater_Rivers,Least_Concern,Victoria_Evans,Real_lead_few_yourself_table_blood_high_grow_fast_recognize_against.
66,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.56,106.5,Adult,Male,07-01-2015,Malaysia,Estuarine_Systems,Data_Deficient,Jennifer_Smith,Treat_seat_strategy_total_simply_discover_soon.
67,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.25,19.3,Subadult,Female,29-08-2013,Congo,Slow_Streams,Data_Deficient,Connor_King,Pick_tough_position_final.
68,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.23,81.8,Adult,Female,06-05-2005,Cuba,Swamps,Critically_Endangered,Kevin_Oconnor,Travel_force_indeed_customer_skill.
69,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.66,262.6,Adult,Unknown,10-04-2024,Venezuela,Brackish_Rivers,Vulnerable,Holly_Shaw,Store_either_station_loss_southern_second_full_boy_while_cell.
70,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,1.85,67.3,Subadult,Male,14-12-2014,Cameroon,Swamps,Endangered,Shannon_Ramsey,Whose_source_hand_so_add_Mr.
71,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.9,629.7,Subadult,Male,09-10-2006,Philippines,Coastal_Wetlands,Least_Concern,Michael_Chambers,Herself_police_he_push_likely_people_wall_foreign_particular_positive_play_less.
72,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,1.2,38,Juvenile,Unknown,17-09-2011,Congo_Basin_Countries,Swamps,Endangered,Marie_Wilson,Watch_fight_manage_best_thought_career.
73,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.9,165.4,Adult,Female,29-06-2005,Nigeria,Swamps,Critically_Endangered,Michael_Paul,Industry_score_choice_increase_between_majority_impact_week_allow_have_kitchen_wear.
74,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,4.34,596.2,Subadult,Female,30-11-2009,Egypt,Lakes,Least_Concern,Ariana_Jennings,Top_population_art_every_why_we_station_begin_deep_police_wife_anything.
75,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.63,107.9,Adult,Unknown,13-12-2007,Cuba,Swamps,Critically_Endangered,William_Buchanan,Attention_share_debate_democratic_thank_forget_challenge_too_able.
76,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.54,103.3,Adult,Male,07-10-2010,Malaysia,Estuarine_Systems,Data_Deficient,Brianna_Anderson,Sometimes_body_term_capital_group_small_open_administration_enter_camera.
77,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.15,75.1,Adult,Female,21-12-2023,Guatemala,Rivers,Least_Concern,Brian_Brown,Sing_message_board_mean_war_analysis_situation_term.
78,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.13,86.4,Adult,Unknown,02-05-2013,Mali,Oases,Least_Concern,Judith_Maynard,Your_suggest_international_blue_Republican_kitchen.
79,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,1.69,63.7,Juvenile,Female,25-07-2019,Gabon,Forest_Rivers,Endangered,Erica_Hernandez,Every_plan_nature_foot_yes_most.
80,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,5.07,791.7,Adult,Female,05-03-2018,Malaysia,Mangroves,Least_Concern,Larry_Garcia,Table_prepare_shoulder_result_Democrat_later_direction_fund.
81,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,1.1,41.1,Juvenile,Female,19-03-2017,Guatemala,Rivers,Least_Concern,Jason_Davis,Fine_effort_well_rather_listen_before.
82,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,3.02,180.7,Adult,Male,25-08-2022,Niger,Rivers,Least_Concern,Jeffrey_Garner,Speech_news_only_no_form_business_government_program.
83,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.6,47,Subadult,Male,22-03-2011,Philippines,Freshwater_Marshes,Critically_Endangered,Shawna_Griffith,Outside_goal_official_defense_prevent_difference_board_suddenly_happen_several_off_southern_suddenly.
84,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,1.25,36.3,Juvenile,Male,07-09-2015,Vietnam,Swamps,Critically_Endangered,Sabrina_Austin,Ago_upon_stop_environment_Congress_reflect_finally_fund_accept_thank_not_husband_center_plan_air_second_Democrat_information.
85,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.31,90.9,Adult,Female,11-04-2015,Guatemala,Swamps,Least_Concern,Jacob_Griffith,Other_third_choose_senior_anyone_bank_kitchen.
86,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,0.79,34.2,Juvenile,Unknown,20-04-2017,Congo_Basin_Countries,Swamps,Endangered,Lawrence_Perry,Sense_box_involve_exist_question_main_project_animal_house_out.
87,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.23,13.1,Adult,Unknown,03-03-2021,Sierra_Leone,Small_Streams,Vulnerable,Eric_Clark,Share_face_build_market_issue_can_mouth_discover_next_property.
88,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,2.82,159.3,Subadult,Unknown,14-09-2025,Pakistan,Lakes,Vulnerable,James_Harmon,Affect_TV_television_office_of_remember_individual_boy.
89,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,2.76,152.5,Adult,Unknown,07-08-2017,Costa_Rica,Coastal_Lagoons,Vulnerable,Frederick_Solis,Least_ready_gun_join_black_job_hundred_bad_that_second_develop_single_baby_plan_most_create.
90,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,2.45,75.8,Subadult,Unknown,09-10-2009,Papua_New_Guinea,Rivers,Least_Concern,Heather_Mullen,Door_chair_culture_own_set_pretty_concern.
91,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.51,102.4,Subadult,Unknown,06-10-2018,Guatemala,Lagoons,Least_Concern,Kathleen_Webster,Large_under_north_play_person_ten_physical_character_attention_kind_field_ever_argue_medical_financial_later_arm_story.
92,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.32,309.5,Subadult,Unknown,28-12-2013,Kenya,Lakes,Least_Concern,Sean_Wyatt,Order_his_oil_west_school_American_training_occur.
93,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.88,273.6,Adult,Unknown,17-05-2018,Mexico,Coastal_Lagoons,Vulnerable,Larry_Mason,Late_specific_study_word_base.
94,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,1.96,133.2,Juvenile,Male,10-05-2011,Colombia,Flooded_Savannas,Critically_Endangered,Amanda_Zimmerman,Model_particular_hair_truth_hold_simple.
95,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,1.21,54.8,Juvenile,Male,27-02-2016,Pakistan,Rivers,Vulnerable,Amy_Mccoy,At_behind_question_exist_rich_prevent_trade_their.
96,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.7,131.1,Subadult,Female,30-08-2025,Mali,Lakes,Least_Concern,Kevin_Thomas,Financial_prevent_product_can_remember_be_next_poor_foreign_campaign_reflect_water.
97,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,3.08,188.3,Adult,Female,23-12-2006,Chad,Rivers,Least_Concern,Susan_Davis_DDS,Gun_guy_Congress_degree_way_main_difficult_case_baby_such_big.
98,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.4,91.7,Subadult,Male,25-11-2016,Indonesia,Estuarine_Systems,Data_Deficient,Sandy_Stephenson,Product_then_peace_others_child_Congress_realize.
99,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.71,125.3,Adult,Male,03-05-2022,Cuba,Swamps,Critically_Endangered,Stephanie_Griffith,Improve_put_down_know_expect_security_large_move.
100,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.21,64.9,Subadult,Unknown,31-08-2006,Indonesia,Swamps,Least_Concern,Robert_Harrison,Happy_water_worker_left_example_high_month_whom_stage_soon.
101,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.86,760.5,Adult,Unknown,16-08-2013,Papua_New_Guinea,Estuaries,Least_Concern,David_Davidson,Never_bill_suffer_surface_expect_several_evening_town_challenge_join_watch_develop_later.
102,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.27,76.7,Adult,Unknown,30-06-2019,Philippines,Freshwater_Marshes,Critically_Endangered,Alexander_Brown,Hear_history_bank_different_five_between_research_friend_certainly_although_true.
103,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.58,109.7,Adult,Female,24-06-2006,Liberia,Shaded_Forest_Rivers,Critically_Endangered,Ronald_Blake,Large_accept_bad_eight_strong_nature_road_month_book_explain_feeling_answer_information_soldier_lead_book.
104,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.54,104.3,Subadult,Female,17-12-2011,Senegal,Oases,Least_Concern,Linda_Smith,Offer_responsibility_fact_ability_good_number_cost_property_model_guess_well_name_skill_medical_after.
105,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.93,147.4,Adult,Unknown,06-10-2020,Cuba,Swamps,Critically_Endangered,Amanda_Hughes,Effect_administration_small_general_run_pick_sign_same_forward_and_national_spend_compare_single.
106,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,2.26,74.5,Adult,Unknown,27-10-2024,Papua_New_Guinea,Rivers,Least_Concern,Michael_Welch,As_simply_leader_fall_analysis_current.
107,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.28,104.8,Adult,Male,20-03-2014,Niger,Oases,Least_Concern,Timothy_Robertson,List_already_positive_experience_television_answer_pretty_event_son_join_hundred.
108,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,3.07,199.3,Adult,Male,02-04-2013,Nigeria,Swamps,Critically_Endangered,Tyler_Morgan,Many_marriage_under_mind_song_risk_bad_own_state_nation.
109,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,2.57,82.1,Adult,Female,04-03-2006,Australia,Billabongs,Least_Concern,Bobby_Guerrero,Knowledge_response_coach_know_language_risk_treatment_past_itself_police_social_arm_provide.
110,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.46,100.2,Subadult,Male,03-06-2025,Mexico,Rivers,Least_Concern,Jose_Brady,Well_central_parent_sit_alone_attack_sing_hand.
111,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,1.77,159.9,Juvenile,Unknown,31-07-2019,Tanzania,Lakes,Least_Concern,Keith_Jacobs,We_head_several_off_morning_huge_power_economic_box.
