row_id,boardgame,release_year,min_players,max_players,min_playtime,max_playtime,minimum_age,avg_rating,num_ratings,complexity,rank_overall,owned,wishlisted,total_plays,fans,page_views,std_deviation,comments,monthly_plays,previously_owned,for_trade,want_trade,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,categories,mechanics,families,designers,artists,publishers,solo_designers,developers,graphic_designers,sculptors,editors,writers,insert_designers,rank_strategy,rank_thematic,rank_family,rank_war,rank_customizable,rank_abstract,rank_party,description,amazon_price_usd,bgg_store_price_usd,boardgamebliss_price_cad,boardgamebliss_price_usd,boardtopia_price_usd,cardhaus_games_price_usd,cloak_&_gamer_price_usd,collector_store_llc_price_usd,dryad_games_price_usd,ebay_price_usd,elevated_board_games_price_usd,fowers_games_price_usd,game_summon_price_gbp,game_summon_price_usd,gamers_guild_az_price_usd,hachette_boardgames_usa_price_usd,k&b_hobbies_and_games_price_cad,k&b_hobbies_and_games_price_usd,link_to_game,miniature_market_price_usd,noble_knight_games_price_usd,philibert_price_eur,philibert_price_usd,ranks_children's,renegade_game_studios_price_usd,spiele-offensive.de_price_eur,spiele-offensive.de_price_usd,stonemaier_games_price_usd,suggested_retail_price_usd,usedgames.ca_price_cad,usedgames.ca_price_usd,wellplayed_price_chf,wellplayed_price_usd,zatu_games_price_gbp,zatu_games_price_usd,zulu's_board_game_cafe_price_usd
241,Ankh: Gods of Egypt,2021,2,5,90.0,90.0,14.0,7.752,10887,3.12,241,18692,4035,22779,1467,1854610,1.54,2024,142,1519,248,369,67,57,118,172,369,810,2000,3600,2500,1200,Ancient;Fantasy;Fighting;Mythology,Action Retrieval;Alliances;Area Majority / Influence;Auction: Sealed Bid;Card Play Conflict Resolution;Grid Movement;Hexagon Grid;Kill Steal;Player Elimination;Race;Tech Trees / Tech Tracks;Variable Player Powers,Ancient: Egypt;Components: Miniatures;Creatures: Monsters;Crowdfunding: Kickstarter;Game: Ankh – Gods of Egypt;Mythology: Egyptian,Eric M. Lang,Nicolas Fructus;Thierry Masson;Adrian Smith,CMON Global Limited;Guillotine Games;Blackfire Games;BoardM Factory;Delta Vision Publishing;Edge Entertainment;Galápagos Jogos;Lavka Games;Portal Games;WoodCat,,Leo Almeida;Marco Portugal,Louise Combal;Fabio de Castro,David Camarasa;Yannick Hennebo;Michael Jenkins;Aragorn Marks;Patrick Masson;Thierry Masson;José Roig;Rémy Tremblay,,,,165,,,,,,,Take the role of Egyptian gods fighting to survive and be remembered.,99.83,,,,,,,,,14.95,,,,,,,,,https://boardgamegeek.com/boardgame/285967/ankh-gods-of-egypt,,79.95,,,,,,,,,,,,,,,
242,Dead of Winter: A Crossroads Game,2014,2,5,60.0,120.0,13.0,7.448,48044,3.01,242,67967,9898,83342,3616,3256941,1.44,6900,108,8297,1585,745,116,216,505,920,2100,5600,12000,15000,8200,3000,Bluffing;Deduction;Horror;Science Fiction;Zombies,Action Points;Area Movement;Dice Rolling;Hand Management;Narrative Choice / Paragraph;Push Your Luck;Scenario / Mission / Campaign Game;Semi-Cooperative Game;Storytelling;Trading;Traitor Game;Turn Order: Progressive;Variable Player Powers;Voting,Components: Dynamic Event Boards;Components: Standees;Creatures: Zombies;Digital Implementations: VASSAL;Misc: Made by Panda;Misc: Watch It Played How To Videos;Series: Crossroads (Plaid Hat Games);Setting: Dead of Winter;Theme: Post-Apocalyptic;Theme: Survival,Jonathan Gilmour-Long;Isaac Vega,David Richards;Fernanda Suárez;Peter Wocken,Plaid Hat Games;Arclight Games;Cube Factory of Ideas;Edge Entertainment;Fantasy Flight Games;Filosofia Éditions;Galápagos Jogos;Game Harbor;Gém Klub Kft.;Gemenot;Heidelberger Spieleverlag;Korea Boardgames;Meanbook Games;MINDOK;Raven Distribution;Rozum;Siam Board Games,,,,,,Mr. Bistro,,,77,,,,,,"As you struggle to keep survivors alive, how will you value group vs. personal needs?",,,,,,63.99,,,,2.49,,,,,,,,,https://boardgamegeek.com/boardgame/150376/dead-of-winter-a-crossroads-game,,63.99,,,,,,,,,,,,,54.29,72.91,79.99
243,Tichu,1991,4,4,60.0,60.0,10.0,7.576,16387,2.34,243,26648,2400,135689,802,1244355,1.67,3953,395,1965,356,309,95,103,206,377,747,1800,3700,4400,2800,2200,Card Game,Hand Management;Ladder Climbing;Predictive Bid;Team-Based Game,Card Games: Climbing;Card Games: Outplay;Card Games: Shedding / Stops;Components: Traditional Playing Cards;Containers: Tin/Metal Box;Creatures: Dragons;Digital Implementations: Board Game Arena;Digital Implementations: Boardible (Mobile);Digital Implementations: BrettspielWelt;Digital Implementations: Steam;Digital Implementations: Tabletopia;Misc: Dice Tower Hall of Fame;Series: Deluxe card game (Z-Man / Filosofia),Urs Hostettler,Kerri Aitken;Christine Alcouffe;Res Brandenberger;François Bruel;Philippe Guérin;Urs Hostettler;Chris Quilliams;Eduardo M. Dos Reis;Valerie Vekemans;Franz Vohwinkel,"Fata Morgana Spiele;(Unknown);999 Games;ABACUSSPIELE;Filosofia Éditions;G3;GP Games;Hobby World;HomoLudicus;Jelly Monster;Jogo na Mesa;Korea Boardgames;Maldito Games;Playhouse Ltd;Rio Grande Games;Swan Panasia Co., Ltd.;TIKI Editions;uplay.it edizioni;Vennerød Forlag AS",,,,,,,,179,,,,,,,Be the first team to empty your hands in this popular partnership climbing card game.,,,,,,10.99,,,,3.99,,,,,,,,,https://boardgamegeek.com/boardgame/215/tichu,,38.0,,,,,,,,,,,,,15.95,21.42,
244,The Taverns of Tiefenthal,2019,2,4,60.0,60.0,12.0,7.576,16135,2.68,244,27736,4737,67184,1126,1101726,1.15,2090,344,2798,322,486,12,23,62,133,420,1400,4500,6400,2500,690,Card Game;Dice;Medieval,"Deck, Bag, and Pool Building;Dice Rolling;Open Drafting;Turn Order: Progressive;Worker Placement;Worker Placement with Dice Workers","Country: Germany;Digital Implementations: Tabletopia;Digital Implementations: Yucata;Food & Drink: Beer;Mechanism: Dice Drafting;Misc: Watch It Played How To Videos;Theme: Pub, Bars, Bistros...",Wolfgang Warsch,Dennis Lohausen,"Schmidt Spiele;999 Games;Arclight Games;Broadway Toys LTD;CMYK;Compaya.hu: Gamer Café Kft.;Day Day Board Game;Devir;G3;Korea Boardgames;Lavka Games;North Star Games, LLC;YellowBOX",,,,,Markus Müller (I),,,188,,,,,,,"""Build your way to the best Tavern in town with this deckbuilding dice drafting game""",69.99,,,,,,,,,25.95,44.99,,,,,,,,https://boardgamegeek.com/boardgame/269207/the-taverns-of-tiefenthal,44.99,42.0,,,,,,,,,,,,,32.99,44.31,
245,Nidavellir,2020,2,5,45.0,45.0,10.0,7.565,15329,2.11,245,19844,3932,71459,702,949416,1.15,2022,282,1981,282,439,17,15,57,139,395,1400,4200,6100,2500,591,Card Game;Fantasy;Mythology,Auction / Bidding;Auction: Multiple Lot;Auction: Sealed Bid;Constrained Bidding;End Game Bonuses;Selection Order Bid;Set Collection;Simultaneous Action Selection,Components: Scoring pad;Creatures: Dwarves & Gnomes;Digital Implementations: Board Game Arena;Digital Implementations: Game Park;Mythology: Norse,Serge Laget,Jean-Marie Minguez,GRRRE Games;Blackrock Games;Evrikus;Fantasmagoria;Galakta;Grok Games;Hachette Boardgames USA;Lautapelit.fi;Maldito Games;Mandoo Games;MIPL;Pegasus Spiele;Reflexshop;Studio Supernova;Sugorokuya;TLAMA games;VR Distribution;White Goblin Games;WoodCat,,,,,,,,178,,43,,,,,Assemble and prepare a formidable crew of dwarfs to fight the mighty Fafnir!,31.99,,44.95,32.35,,44.99,,,,15.0,,,,,,,,,https://boardgamegeek.com/boardgame/293014/nidavellir,,28.0,,,,,,,,44.99,,,,,,,39.99
246,Star Realms: Colony Wars,2015,2,2,20.0,20.0,12.0,7.788,8608,1.9,246,19320,880,32441,315,293972,1.22,1188,141,1110,205,109,22,14,20,51,165,615,2100,3400,1600,711,Card Game;Fighting;Science Fiction,"Deck, Bag, and Pool Building;Delayed Purchase;Hand Management;Open Drafting;Take That",Game: Star Realms;Misc: LongPack Games;Players: Two-Player Only Games,Robert Dougherty;Darwin Kastle,Vito Gesualdi,Wise Wizard Games;ADC Blackfire Entertainment GmbH;Broadway Toys LTD;Devir;Games Factory;Games Factory Publishing;Hobby World;IELLO;IUVI Games,,,,,,,,170,,,,,,,"Expand your fleet, defend your bases, and prevail in the battle for the colonies.",17.95,,,,,13.29,,,,11.99,,,,,,,,,https://boardgamegeek.com/boardgame/182631/star-realms-colony-wars,,15.95,,,,,,,,19.95,,,,,14.99,20.13,
247,YINSH,2003,2,2,30.0,60.0,9.0,7.71,9552,2.64,247,12597,3703,36681,467,790576,1.31,2322,234,1231,139,593,30,22,39,94,250,778,2300,3400,1800,774,Abstract Strategy,Catch the Leader;Grid Movement;Pattern Building,Category: Combinatorial;Category: n in a row;Digital Implementations: Board Game Arena;Digital Implementations: BoardSpace;Digital Implementations: Boiteajeux;Digital Implementations: BrettspielWelt;Misc: Mensa Select;Players: Two-Player Only Games;Series: GIPF Project,Kris Burm,Kris Burm;lu'cifer,"Don & Co.;DiceTree Games;HUCH!;Rebel Sp. z o.o.;Rio Grande Games;Smart Toys and Games, Inc.;黑城堡桌游 Black Castle Games",,,,,,,,,,,,,4,,"Move rings over pieces to flip them, creating rows of five in your color.",40.0,,38.95,28.03,,,,,,24.99,,,,,,,41.99,30.22,https://boardgamegeek.com/boardgame/7854/yinsh,,,,,,,,,,49.99,,,,,,,
248,Paths of Glory,1999,2,2,480.0,480.0,14.0,8.081,5495,3.85,248,11096,2449,9448,752,1744243,1.63,1925,26,1246,214,343,56,26,51,66,142,329,747,1500,1600,1000,Wargame;World War I,Campaign / Battle Card Driven;Dice Rolling;Point to Point Movement,Continents: Europe;Country: France;Digital Implementations: Tabletopia;Misc: Dice Tower Hall of Fame;Misc: LongPack Games;Players: Two-Player Only Games;Region: Middle East;War Level of Command: Strategic,Ted Raicer,Charles Kibler;Terry Leeds;Rodger B. MacGowan;Mark Simonitch,GMT Games;Devir;DiceTree Games;GaGa Games;Udo Grebe Gamedesign;Wargames Club Publishing;Wydawnictwo Gołębiewski,,,,,,,,,,,3,,,,Step into the shoes of rulers and generals who triumphed or failed in the Great War.,,,,,,58.39,,,,35.0,,,,,,,,,https://boardgamegeek.com/boardgame/91/paths-of-glory,,28.0,,,,,,,,,,,,,,,
249,Ticket to Ride,2004,2,5,30.0,60.0,8.0,7.388,95318,1.82,249,141895,8293,424163,4768,3543382,1.3,15379,1747,8185,1179,687,135,205,553,1300,3800,12000,30000,30000,12000,5200,Trains,Connections;Contracts;End Game Bonuses;Hand Management;Network and Route Building;Open Drafting;Push Your Luck;Set Collection,Components: Map (Continental / National scale);Continents: North America;Country: USA;Digital Implementations: Apple App Store;Digital Implementations: Board Game Arena;Digital Implementations: Google Play;Digital Implementations: Steam;Game: Ticket to Ride (Official);Misc: BGG Hall of Fame;Misc: Dice Tower Hall of Fame;Misc: Watch It Played How To Videos,Alan R. Moon,Cyrille Daujean;Julien Delval,"Days of Wonder;ADC Blackfire Entertainment;asmodee;Bandai Co., Ltd.;Boardgame Space;Edge Entertainment;Enigma (Bergsala Enigma);Galápagos Jogos;Giochi Uniti;Happy Baobab;Hobby Japan;Hobby World;Kaissa Chess & Games;Korea Boardgames;Lautapelit.fi;Rebel Sp. z o.o.;Siam Board Games;Swan Panasia Co., Ltd.",,,,,Jesse Rasmussen,Jesse Rasmussen,,,,62,,,,,"All aboard! Collect trains, choo-choo-choose your routes, fulfill your destination!",,,,,43.99,48.99,,43.99,,2.19,49.99,,,,,,59.99,43.17,https://boardgamegeek.com/boardgame/9209/ticket-to-ride,,44.0,,,,,,,,,,,,,33.99,45.65,
250,Coimbra,2018,2,4,60.0,90.0,14.0,7.606,12608,3.25,250,16491,3588,34358,651,1090179,1.16,1906,106,2738,356,514,13,21,57,107,340,1000,3200,5100,2300,466,Dice;Renaissance,Action Drafting;Auction / Bidding;Dice Rolling;End Game Bonuses;Income;Open Drafting;Point to Point Movement;Set Collection;Tech Trees / Tech Tracks;Turn Order: Stat-Based;Variable Set-up;Worker Placement with Dice Workers,Components: Map (Continental / National scale);Country: Portugal;History: Age of Discovery;Mechanism: Dice Drafting,Flaminia Brasini;Virginio Gigli,Chris Quilliams,eggertspiele;Broadway Toys LTD;Galápagos Jogos;Ghenos Games;Hobby Japan;Pegasus Spiele;Rebel Sp. z o.o.;sternenschimmermeer,,,Philippe Guérin;Marie-Eve Joly;Karla Ron,,,,,171,,,,,,,Spread your influence across monasteries of Portugal and beyond!,47.96,,,,,,,,,31.34,,,,,,,,,https://boardgamegeek.com/boardgame/245638/coimbra,,4.0,,,,,,,,,,,,,,,
251,Under Falling Skies,2020,1,1,20.0,40.0,12.0,7.618,13075,2.4,251,28469,3967,66920,1162,992902,1.18,2094,350,3517,545,334,17,19,52,85,316,1200,3400,5200,2100,646,Dice;Science Fiction,Dice Rolling;Modular Board;Once-Per-Game Abilities;Re-rolling and Locking;Scenario / Mission / Campaign Game;Solo / Solitaire Game;Square Grid;Sudden Death Ending;Variable Set-up;Worker Placement;Worker Placement with Dice Workers,Creatures: Aliens / Extraterrestrials;Players: Games with Solitaire Rules;Players: Solitaire Only Games,Tomáš Uhlíř,Petr Boháček;Kwanchai Moriya,Czech Games Edition;Cranio Creations;Devir;DiceTree Games;GaGa Games;HeidelBÄR Games;Hobby Japan;IELLO;Kilogames;MINDOK;Rebel Sp. z o.o.;White Goblin Games,,,,,,Jason Holt,,194,,,,,,,You alone command the forces of a city holding off invading aliens.,,,28.95,20.83,19.95,24.95,,,,,,,,,,,31.99,23.02,https://boardgamegeek.com/boardgame/306735/under-falling-skies,,17.0,,,,,,,,,,,,,23.99,32.22,
252,Bomb Busters,2024,2,5,30.0,30.0,10.0,8.046,5452,1.95,252,11276,4622,101675,881,571034,1.22,779,12456,195,29,583,8,10,25,32,77,264,910,2100,1500,582,Deduction;Spies / Secret Agents,Communication Limits;Cooperative Game;Deduction;Memory;Once-Per-Game Abilities;Real-Time;Scenario / Mission / Campaign Game;Sudden Death Ending,Digital Implementations: TableTop Simulator Mod (TTS);Mechanism: Deduction – Blind Man's Bluff,Hisashi Hayashi,Dominique Ferland,Cocktail Games;999 Games;Broadway Toys LTD;Devir;Engames;GaGa Games;Ghenos Games;Korea Boardgames;Lautapelit.fi;MINDOK;Nasza Księgarnia;Pegasus Spiele;Reflexshop,,,Laura Michaud,,,,,,,28,,,,,Players defuse bombs by deducing and cutting unseen wires of different values.,39.4,,,,,,,,,34.81,,,,,,,49.99,35.98,https://boardgamegeek.com/boardgame/413246/bomb-busters,,,31.5,36.6,,,,,,42.95,,,,,30.15,40.49,
253,KLASK,2014,2,2,10.0,10.0,8.0,7.629,11613,1.05,253,16751,2511,122398,439,661589,1.33,1532,497,939,183,273,18,26,59,109,382,1200,3000,3900,2000,950,Action / Dexterity;Real-time,Real-Time;Score-and-Reset Game,Components: Magnets;Players: Two-Player Only Games,Mikkel Bertelsen,Mikkel Bertelsen,Klask ApS;Big Potato Games;Boardgame Space;Brain Games;CLD Distributing;Competo / Marektoy;Dino Toys s. r. o.;FantasTies;FoxMind;G3;Game Factory;Ghenos Games;Gigamic;InterHit;Korea Boardgames;Lord of Boards;MEBO Games;Reflexshop;Regatul Jocurilor;VR Distribution,,,,,,,,,,45,,,,7,"Use magnets to push a ball into the goal, but beware of falling in yourself!",69.99,,69.95,50.34,,,,,,19.99,69.99,,,,,,,,https://boardgamegeek.com/boardgame/165722/klask,69.99,45.0,,,,,,,,,,,,,38.39,51.56,69.99
254,Calico,2020,1,4,30.0,45.0,10.0,7.5,21947,2.19,254,38655,6261,113861,1640,1090615,1.24,3291,673,3043,331,422,26,37,121,258,701,2200,6200,8200,3100,1100,Animals;Puzzle,Enclosure;End Game Bonuses;Grid Coverage;Hexagon Grid;Open Drafting;Pattern Building;Set Collection;Solo / Solitaire Game;Tile Placement,Animals: Cats;Crowdfunding: Kickstarter;Digital Implementations: Apple App Store;Digital Implementations: Steam;Digital Implementations: Tabletopia;Players: Games with Solitaire Rules;Series: Calico;Theme: Sewing / Knitting / Cloth-Making,Kevin Russ,Beth Sobel,Flatout Games;Alderac Entertainment Group;Arclight Games;CrowD Games;Cryptic Cardboard;Gém Klub Kft.;Grok Games;Hid Konem (Хід Конем);Kaissa Chess & Games;Little Rocket Games;Lord of Boards;Lucky Duck Games;Maldito Games;MINDOK;Popcorn Games;Ravensburger;White Goblin Games,Shawn Stankewich,David Iezzi;Molly Johnson;Robert Melvin;Kevin Russ;Shawn Stankewich,Dylan Mangini;Kevin Russ;Shawn Stankewich,,,,,,,53,,,10,,"Sew a quilt, collect buttons, attract cats!",39.99,,43.95,31.63,31.99,,,,,20.0,,,,,,,43.99,31.66,https://boardgamegeek.com/boardgame/283155/calico,,60.0,,,,,,,,,,,,,30.69,41.22,
255,My City,2020,2,4,30.0,30.0,10.0,7.6,12549,1.98,255,23836,4831,187716,679,913427,1.24,1929,738,3433,296,371,17,37,63,137,354,1000,3300,4800,2200,630,City Building,Bingo;Catch the Leader;Grid Coverage;Legacy Game;Pattern Building;Scenario / Mission / Campaign Game;Tile Placement,Admin: Better Description Needed!;Components: Polyominoes;Digital Implementations: Board Game Arena;Mechanism: Campaign Games;Mechanism: Legacy;Misc: LongPack Games;Misc: Watch It Played How To Videos;Series: My City (Kosmos);Theme: City,Reiner Knizia,Michael Menzel,KOSMOS;999 Games;Arclight Games;Broadway Toys LTD;Devir;Galakta;Giochi Uniti;IELLO;Kaissa Chess & Games;Korea Boardgames;Lautapelit.fi;Piatnik;Zvezda,,,,,,,,187,,47,,,,,Develop your city through the ages in this family-friendly legacy experience.,24.49,,38.95,28.03,,,,,,11.61,31.99,,,,,,,,https://boardgamegeek.com/boardgame/295486/my-city,,20.0,,,,,,,,34.95,,,,,26.95,36.2,
256,Secret Hitler,2016,5,10,45.0,45.0,13.0,7.496,32440,1.74,256,47564,7666,140477,1979,2054700,1.61,4700,746,2592,425,481,209,215,399,679,1400,3700,7600,9600,5700,3000,Bluffing;Card Game;Deduction;Humor;Party Game;Political;Print & Play;Spies / Secret Agents,Hidden Roles;Player Elimination;Team-Based Game;Traitor Game;Voting,Crowdfunding: Kickstarter;Digital Implementations: Tabletopia;Game: Werewolf / Mafia,Mike Boxleiter;Tommy Maranges;Max Temkin,Mackenzie Schubert,Goat Wolf & Cabbage;(Self-Published);Print & Play Productions,,,,,,,,,,,,,,19,"In pre-WW2 Germany, Liberals and Fascists square off in an intrigue-filled parliament",45.0,,,,,,,,,25.0,,,,,,,,,https://boardgamegeek.com/boardgame/188834/secret-hitler,,40.0,49.95,58.04,,,,,,50.0,,,,,58.89,79.09,
257,Nations,2013,1,5,40.0,200.0,14.0,7.597,12521,3.54,257,13114,3445,35033,717,1484271,1.41,2399,45,2871,355,590,35,49,97,212,455,1200,2900,4200,2600,863,Card Game;Civilization;Economic,Contracts;End Game Bonuses;Events;Hidden Victory Points;Income;Open Drafting;Tags;Turn Order: Stat-Based;Variable Player Powers;Variable Set-up;Worker Placement,Game: Nations;Historical Figures: Various;Mechanism: Tableau Building;Players: Games with Solitaire Rules,Rustan Håkansson;Nina Håkansson;Einar Rosén;Robert Rosén,Ossi Hiekkala;Jere Kasanen;Paul Laane;Frida Lögdberg,Lautapelit.fi;asmodee;Asterion Press;Rebel Sp. z o.o.;Ystari Games,,,Jere Kasanen,,,,,175,,,,,,,"Steer the fate of your nation, from the ancient world until the outbreak of WW1.",,,,,,,,,,38.65,,,,,,,,,https://boardgamegeek.com/boardgame/126042/nations,,55.0,,,,,,,,,49.95,35.95,,,,,
258,Camel Up (Second Edition),2018,3,8,30.0,45.0,8.0,7.559,16082,1.5,258,27718,4558,57868,949,838843,1.18,2252,478,1619,247,411,25,21,48,138,395,1500,4700,6100,2300,829,Animals;Arabian;Dice;Racing,Betting and Bluffing;Dice Rolling;Roll / Spin and Move;Track Movement;Variable Set-up,Animals: Camels;Components: Drop Tower;Components: Meeples (Animal) / Animeeples;Country: Egypt;Game: Camel Up;Misc: LongPack Games;Theme: Deserts,Steffen Bogen,Chris Quilliams,"eggertspiele;Choo Choo Games;Ediciones MasQueOca;Galápagos Jogos;Ghenos Games;Hobby Japan;Korea Boardgames;Lookout Games;Lucrum Games;Pegasus Spiele;Piatnik;Plan B Games;Pretzel Games;SuperHeated Neurons;Swan Panasia Co., Ltd.;Tower Tactic Games;uplay.it edizioni",,,,,,,,,,49,,,,8,Place your bets and bend the odds in this crazy camel-stacking race!,28.99,,44.95,32.35,,,,,,8.11,34.99,,,,,,54.99,39.57,https://boardgamegeek.com/boardgame/260605/camel-up-second-edition,,35.0,,,,,,,,31.99,,,,,,,42.99
259,Near and Far,2017,2,4,90.0,120.0,13.0,7.656,10934,2.89,259,22616,6340,35515,1048,1327894,1.34,2180,64,3043,488,688,25,26,70,131,372,977,2500,3800,2200,781,Adventure;Exploration;Fantasy;Fighting,Closed Drafting;Contracts;Dice Rolling;End Game Bonuses;Hand Management;Movement Points;Multiple Maps;Narrative Choice / Paragraph;Network and Route Building;Open Drafting;Point to Point Movement;Push Your Luck;Resource to Move;Scenario / Mission / Campaign Game;Set Collection;Storytelling;Tags;Variable Player Powers;Worker Placement,Components: Book as Board;Components: Map (Regional scale);Crowdfunding: Kickstarter;Digital Implementations: Tabletopia;Mechanism: Campaign Games;Misc: Forteller Audio Narration;Misc: Made by Panda;Setting: World of Arzium,Ryan Laukat,Ryan Laukat,Red Raven Games;Bard Centrum Gier;Devir;DV Games;Lavka Games;Lotus Frog Games;Lucky Duck Games;REXhry;Schwerkraft-Verlag,,Brenna Asplund;Ryan Laukat;Malorie Laukat,,,,Brenna Asplund;Ryan Laukat;Malorie Laukat;Alf Seegert,,,55,,,,,,Explore the lands to discover the Last Ruin and become the most storied traveller.,,,,,50.49,,,,,1.75,,,,,,,,,https://boardgamegeek.com/boardgame/195421/near-and-far,,44.0,,,,,,,,,,,,,,,
260,Cyclades,2009,2,5,60.0,90.0,13.0,7.495,22387,2.82,260,24727,6199,40406,1406,1956077,1.33,3923,69,4350,512,937,28,61,165,324,801,2500,6000,7600,3600,1300,Ancient;City Building;Civilization;Fighting;Mythology;Nautical,Area Majority / Influence;Area Movement;Auction / Bidding;Auction: Fixed Placement;Dice Rolling;Open Drafting;Set Collection;Variable Phase Order,Ancient: Greece;Components: Map (Continental / National scale);Components: Miniatures;Components: Player Screens;Country: Greece;Creatures: Minotaurs;Game: Cyclades;Islands: Cyclades (Greece);Mythology: Greek,Bruno Cathala;Ludovic Maublanc,Miguel Coimbra,Matagot;asmodee;Asterion Press;Bureau de Juegos;CrowD Games;Galápagos Jogos;Kaissa Chess & Games;Lex Games;Rebel Sp. z o.o.;REXhry;Surfin' Meeple China;Tower Tactic Games;Взрослые дети,,,,,,,,209,,,,,,,"Win the favor of the Gods in this competitive auction, area control game.",79.95,,81.95,58.98,,55.99,,,,7.96,,,,,,,,,https://boardgamegeek.com/boardgame/54998/cyclades,,38.0,,,,,,,,,,,,,57.45,77.16,
261,Thunder Road: Vendetta,2023,2,4,45.0,75.0,10.0,7.939,6133,1.95,261,9893,4400,22835,921,914412,1.29,1041,871,573,73,538,6,13,27,69,130,393,1100,2300,1600,616,Dice;Fighting;Miniatures;Racing,Dice Rolling;Die Icon Resolution;Grid Movement;Player Elimination;Roll / Spin and Move;Take That,Crowdfunding: Kickstarter;Digital Implementations: TableTop Simulator Mod (TTS);Digital Implementations: Tabletopia;Misc: Watch It Played How To Videos;Sports: Auto Racing;Theme: Post-Apocalyptic,Dave Chalker;Brett Myers;Noah Cohen;Rob Daviau;Justin D. Jacobson;Jim Keifer;Brian Neff,Marie Bergeron;Garrett Kaida,Restoration Games;Bumble3ee Interactive;Gém Klub Kft.;Hobby World;Lucky Duck Games;Old Dawg;Pendragon Game Studio;Ігромаг,,,Lindsay Daviau;Peter Gifford;Jason D. Kingsley;Jason Taylor,Hakan Diniz,,,,,44,40,,,,,Crews race and shoot to win the race... or be the last car standing.,349.79,,,,42.98,51.99,,,,12.0,,,,,,,64.99,46.77,https://boardgamegeek.com/boardgame/342070/thunder-road-vendetta,48.0,50.0,,,,,,,,,,,,,,,59.99
262,Combat Commander: Europe,2006,2,2,60.0,180.0,12.0,7.956,6037,3.26,262,9166,2285,32222,978,1830840,1.62,2018,64,1349,184,349,48,36,52,109,162,409,915,1800,1600,967,Wargame;World War II,Advantage Token;Campaign / Battle Card Driven;Grid Movement;Hexagon Grid;Line of Sight;Movement Points;Simulation;Variable Phase Order,Country: France;Country: Germany;Country: USA;Digital Implementations: VASSAL;Players: Two-Player Only Games;Players: Wargames with Rules Supporting Only Two Players;Series: Combat Commander,Chad Jensen,Lee Brimmicombe-Wood;Chad Jensen;Rodger B. MacGowan;Leland Myrick;Mark Simonitch,GMT Games;Devir,,Chad Jensen;Kai Jensen,Rodger B. MacGowan,,,,,,,,11,,,,Recreate the European theater of World War II in this acclaimed card-driven wargame.,,,99.95,71.93,,,,,,49.99,,,,,,,,,https://boardgamegeek.com/boardgame/21050/combat-commander-europe,,34.0,,,,,,,,,,,,,,,
263,Dinosaur Island,2017,1,4,90.0,120.0,8.0,7.542,16830,3.04,263,27566,4941,43010,1139,1608842,1.34,2988,102,3656,719,586,35,48,140,221,653,1600,4200,6000,3000,972,Animals;Economic;Science Fiction,Action Points;Dice Rolling;Income;Set Collection;Tile Placement;Worker Placement,"Admin: Better Description Needed!;Animals: Dinosaurs;Components: Meeples;Components: Meeples (Dinosaur) / Dinomeeples;Crowdfunding: Kickstarter;Game: Dinosaur Island/Dinosaur World;Islands: Fictional;Occupation: Medic / Doctor / Nurses;Players: Games with Solitaire Rules;Theme: Amusement Parks / Theme Parks;Theme: Mad Science / Mad Scientist;Theme: Zoos, Aquaria, Safari Parks",Jonathan Gilmour-Long;Brian Lewis,Kwanchai Moriya;Anthony Wocken,Pandasaurus Games;Angry Lion Games;Arclight Games;asmodee;Devir;Feuerland Spiele;Galakta;Ghenos Games;Hobby World;MeepleBR;Planeta Igor;Rozum,,Jonathan Gilmour-Long;Nathan McNair;Molly Wardlaw,Peter Wocken,,Dustin Schwartz,,,207,,,,,,,Clone dinosaurs and build attractions to gain the most excitement.,55.98,,,,,46.39,,,,4.95,,,,,,,,,https://boardgamegeek.com/boardgame/221194/dinosaur-island,42.99,20.0,,,,,,,,,,,,,,,
264,Fantasy Realms,2017,2,6,20.0,20.0,14.0,7.508,17313,1.81,264,27396,3333,217938,779,960966,1.24,2326,1476,2116,298,291,21,31,101,169,564,1800,4900,6300,2600,859,Card Game;Fantasy,End Game Bonuses;Hand Management;Open Drafting;Set Collection;Tags,Card Games: Draw and Discard;Creatures: Dragons;Misc: LongPack Games,Bruce Glassco,Anthony Cournoyer;Octographics,WizKids (I);Arclight Games;BoardM Factory;Broadway Toys LTD;Delta Vision Publishing;Don't Panic Games;Feelindigo;Galápagos Jogos;Korea Boardgames;Lavka Games;Looping Games;Rebel Sp. z o.o.;REXhry;Strohmann Games,,,Patricia Rodríguez Ruiz,,,,,,,51,,,,,Build the greatest fantasy kingdom by constructing the best hand.,21.25,,,,,,,,,11.86,,,,,,,,,https://boardgamegeek.com/boardgame/223040/fantasy-realms,,12.0,,,,,,,,,,,,,15.99,21.48,
